ID,Code,"Entry ID","Is Redeemed?","Redeeemed Date",Winner,"Winner Amount"
5000001,BNZZX0TZ4,0,No,,No,
5000002,BNZZX0TZ3,0,No,,No,
5000003,BNZZX0TZ2,0,No,,No,
5000004,BNZZX0TZ1,0,No,,No,
5000005,BNZZX0TZ0,0,No,,No,
5000006,BNZZX0TYZ,0,No,,No,
5000007,BNZZX0TYY,0,No,,No,
5000008,BNZZX0TYX,0,No,,No,
5000009,BNZZX0TYW,0,No,,No,
5000010,BNZZX0TYV,0,No,,No,
5000011,BNZZX0TYU,0,No,,No,
5000012,BNZZX0TYT,0,No,,No,
5000013,BNZZX0TYS,0,No,,No,
5000014,BNZZX0TYR,0,No,,No,
5000015,BNZZX0TYQ,0,No,,No,
5000016,BNZZX0TYP,0,No,,No,
5000017,BNZZX0TYO,0,No,,No,
5000018,BNZZX0TYN,0,No,,No,
5000019,BNZZX0TYM,0,No,,No,
5000020,BNZZX0TYL,0,No,,No,
5000021,BNZZX0TYK,0,No,,No,
5000022,BNZZX0TYJ,0,No,,No,
5000023,BNZZX0TYI,0,No,,No,
5000024,BNZZX0TYH,0,No,,No,
5000025,BNZZX0TYG,0,No,,No,
5000026,BNZZX0TYF,0,No,,No,
5000027,BNZZX0TYE,0,No,,No,
5000028,BNZZX0TYD,0,No,,No,
5000029,BNZZX0TYC,0,No,,No,
5000030,BNZZX0TYB,0,No,,No,
5000031,BNZZX0TYA,0,No,,No,
5000032,BNZZX0TY9,0,No,,No,
5000033,BNZZX0TY8,0,No,,No,
5000034,BNZZX0TY7,0,No,,No,
5000035,BNZZX0TY6,0,No,,No,
5000036,BNZZX0TY5,0,No,,No,
5000037,BNZZX0TY4,0,No,,No,
5000038,BNZZX0TY3,0,No,,No,
5000039,BNZZX0TY2,0,No,,No,
5000040,BNZZX0TY1,0,No,,No,
5000041,BNZZX0TY0,0,No,,No,
5000042,BNZZX0TXZ,0,No,,No,
5000043,BNZZX0TXY,0,No,,No,
5000044,BNZZX0TXX,0,No,,No,
5000045,BNZZX0TXW,0,No,,No,
5000046,BNZZX0TXV,0,No,,No,
5000047,BNZZX0TXU,0,No,,No,
5000048,BNZZX0TXT,0,No,,No,
5000049,BNZZX0TXS,0,No,,No,
5000050,BNZZX0TXR,0,No,,No,
5000051,BNZZX0TXQ,0,No,,No,
5000052,BNZZX0TXP,0,No,,No,
5000053,BNZZX0TXO,0,No,,No,
5000054,BNZZX0TXN,0,No,,No,
5000055,BNZZX0TXM,0,No,,No,
5000056,BNZZX0TXL,0,No,,No,
5000057,BNZZX0TXK,0,No,,No,
5000058,BNZZX0TXJ,0,No,,No,
5000059,BNZZX0TXI,0,No,,No,
5000060,BNZZX0TXH,0,No,,No,
5000061,BNZZX0TXG,0,No,,No,
5000062,BNZZX0TXF,0,No,,No,
5000063,BNZZX0TXE,0,No,,No,
5000064,BNZZX0TXD,0,No,,No,
5000065,BNZZX0TXC,0,No,,No,
5000066,BNZZX0TXB,0,No,,No,
5000067,BNZZX0TXA,0,No,,No,
5000068,BNZZX0TX9,0,No,,No,
5000069,BNZZX0TX8,0,No,,No,
5000070,BNZZX0TX7,0,No,,No,
5000071,BNZZX0TX6,0,No,,No,
5000072,BNZZX0TX5,0,No,,No,
5000073,BNZZX0TX4,0,No,,No,
5000074,BNZZX0TX3,0,No,,No,
5000075,BNZZX0TX2,0,No,,No,
5000076,BNZZX0TX1,0,No,,No,
5000077,BNZZX0TX0,0,No,,No,
5000078,BNZZX0TWZ,0,No,,No,
5000079,BNZZX0TWY,0,No,,No,
5000080,BNZZX0TWX,0,No,,No,
5000081,BNZZX0TWW,0,No,,No,
5000082,BNZZX0TWV,0,No,,No,
5000083,BNZZX0TWU,0,No,,No,
5000084,BNZZX0TWT,0,No,,No,
5000085,BNZZX0TWS,0,No,,No,
5000086,BNZZX0TWR,0,No,,No,
5000087,BNZZX0TWQ,0,No,,No,
5000088,BNZZX0TWP,0,No,,No,
5000089,BNZZX0TWO,0,No,,No,
5000090,BNZZX0TWN,0,No,,No,
5000091,BNZZX0TWM,0,No,,No,
5000092,BNZZX0TWL,0,No,,No,
5000093,BNZZX0TWK,0,No,,No,
5000094,BNZZX0TWJ,0,No,,No,
5000095,BNZZX0TWI,0,No,,No,
5000096,BNZZX0TWH,0,No,,No,
5000097,BNZZX0TWG,0,No,,No,
5000098,BNZZX0TWF,0,No,,No,
5000099,BNZZX0TWE,0,No,,No,
5000100,BNZZX0TWD,0,No,,No,
5000101,BNZZX0TWC,0,No,,No,
5000102,BNZZX0TWB,0,No,,No,
5000103,BNZZX0TWA,0,No,,No,
5000104,BNZZX0TW9,0,No,,No,
5000105,BNZZX0TW8,0,No,,No,
5000106,BNZZX0TW7,0,No,,No,
5000107,BNZZX0TW6,0,No,,No,
5000108,BNZZX0TW5,0,No,,No,
5000109,BNZZX0TW4,0,No,,No,
5000110,BNZZX0TW3,0,No,,No,
5000111,BNZZX0TW2,0,No,,No,
5000112,BNZZX0TW1,0,No,,No,
5000113,BNZZX0TW0,0,No,,No,
5000114,BNZZX0TVZ,0,No,,No,
5000115,BNZZX0TVY,0,No,,No,
5000116,BNZZX0TVX,0,No,,No,
5000117,BNZZX0TVW,0,No,,No,
5000118,BNZZX0TVV,0,No,,No,
5000119,BNZZX0TVU,0,No,,No,
5000120,BNZZX0TVT,0,No,,No,
5000121,BNZZX0TVS,0,No,,No,
5000122,BNZZX0TVR,0,No,,No,
5000123,BNZZX0TVQ,0,No,,No,
5000124,BNZZX0TVP,0,No,,No,
5000125,BNZZX0TVO,0,No,,No,
5000126,BNZZX0TVN,0,No,,No,
5000127,BNZZX0TVM,0,No,,No,
5000128,BNZZX0TVL,0,No,,No,
5000129,BNZZX0TVK,0,No,,No,
5000130,BNZZX0TVJ,0,No,,No,
5000131,BNZZX0TVI,0,No,,No,
5000132,BNZZX0TVH,0,No,,No,
5000133,BNZZX0TVG,0,No,,No,
5000134,BNZZX0TVF,0,No,,No,
5000135,BNZZX0TVE,0,No,,No,
5000136,BNZZX0TVD,0,No,,No,
5000137,BNZZX0TVC,0,No,,No,
5000138,BNZZX0TVB,0,No,,No,
5000139,BNZZX0TVA,0,No,,No,
5000140,BNZZX0TV9,0,No,,No,
5000141,BNZZX0TV8,0,No,,No,
5000142,BNZZX0TV7,0,No,,No,
5000143,BNZZX0TV6,0,No,,No,
5000144,BNZZX0TV5,0,No,,No,
5000145,BNZZX0TV4,0,No,,No,
5000146,BNZZX0TV3,0,No,,No,
5000147,BNZZX0TV2,0,No,,No,
5000148,BNZZX0TV1,0,No,,No,
5000149,BNZZX0TV0,0,No,,No,
5000150,BNZZX0TUZ,0,No,,No,
5000151,BNZZX0TUY,0,No,,No,
5000152,BNZZX0TUX,0,No,,No,
5000153,BNZZX0TUW,0,No,,No,
5000154,BNZZX0TUV,0,No,,No,
